"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"241",241,9,"P26, P32, P63, P72, P81, P94, P143, P256, P292",0.838383838383838,0.861386138613861,83,87,14,16
"242",242,9,"P26, P63, P72, P81, P94, P143, P211, P256, P292",0.857142857142857,0.88421052631579,90,84,11,15
"243",243,7,"P72, P81, P94, P143, P244, P256, P292",0.908163265306122,0.774509803921569,89,79,23,9
"244",244,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.870967741935484,0.841121495327103,81,90,17,12
"245",245,7,"P32, P63, P81, P94, P143, P256, P292",0.814814814814815,0.902173913043478,88,83,9,20
"246",246,12,"P7, P26, P32, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.897959183673469,0.823529411764706,88,84,18,10
"247",247,8,"P26, P63, P72, P94, P143, P244, P256, P292",0.854545454545454,0.877777777777778,94,79,11,16
"248",248,7,"P63, P81, P94, P143, P244, P256, P292",0.833333333333333,0.86734693877551,85,85,13,17
"249",249,8,"P63, P72, P81, P94, P143, P244, P256, P292",0.795698924731183,0.85981308411215,74,92,15,19
"250",250,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.903225806451613,0.831775700934579,84,89,18,9
"251",251,10,"P7, P26, P32, P63, P81, P94, P143, P244, P256, P292",0.858407079646018,0.793103448275862,97,69,18,16
"252",252,9,"P32, P63, P72, P91, P94, P143, P244, P256, P292",0.930693069306931,0.898989898989899,94,89,10,7
"253",253,9,"P63, P72, P91, P94, P143, P211, P244, P256, P292",0.911764705882353,0.877551020408163,93,86,12,9
"254",254,8,"P32, P63, P72, P81, P94, P244, P256, P292",0.794117647058823,0.897959183673469,81,88,10,21
"255",255,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.851063829787234,0.867924528301887,80,92,14,14
"256",256,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.858490566037736,0.829787234042553,91,78,16,15
"257",257,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.85,0.85,85,85,15,15
"258",258,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.893617021276596,0.792452830188679,84,84,22,10
"259",259,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.868421052631579,0.872093023255814,99,75,11,15
"260",260,13,"P7, P26, P32, P63, P72, P81, P91, P94, P109, P143, P244, P256, P292",0.891089108910891,0.868686868686869,90,86,13,11
"261",261,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.91304347826087,0.941176470588235,105,80,5,10
"262",262,9,"P26, P32, P63, P81, P94, P143, P244, P256, P292",0.92,0.83,92,83,17,8
"263",263,10,"P26, P63, P81, P91, P94, P143, P211, P244, P256, P292",0.84375,0.826923076923077,81,86,18,15
"264",264,7,"P26, P32, P94, P143, P244, P256, P292",0.828282828282828,0.762376237623762,82,77,24,17
"265",265,12,"P7, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.871559633027523,0.868131868131868,95,79,12,14
"266",266,9,"P26, P63, P81, P91, P94, P143, P244, P256, P292",0.89247311827957,0.850467289719626,83,91,16,10
"267",267,8,"P32, P63, P81, P91, P94, P143, P256, P292",0.906542056074766,0.838709677419355,97,78,15,10
"268",268,7,"P32, P81, P94, P143, P244, P256, P292",0.818181818181818,0.871287128712871,81,88,13,18
"269",269,9,"P26, P63, P72, P94, P109, P143, P244, P256, P292",0.83495145631068,0.876288659793814,86,85,12,17
"270",270,9,"P26, P32, P63, P81, P94, P143, P244, P256, P292",0.816326530612245,0.862745098039216,80,88,14,18
"271",271,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.912087912087912,0.853211009174312,83,93,16,8
"272",272,10,"P7, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.852631578947368,0.904761904761905,81,95,10,14
"273",273,5,"P32, P81, P94, P256, P292",0.820224719101124,0.765765765765766,73,85,26,16
"274",274,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.863636363636364,0.844444444444444,95,76,14,15
"275",275,5,"P81, P94, P143, P256, P292",0.839622641509434,0.819148936170213,89,77,17,17
"276",276,9,"P26, P32, P63, P91, P94, P143, P244, P256, P292",0.835051546391753,0.883495145631068,81,91,12,16
"277",277,11,"P7, P32, P63, P91, P94, P109, P143, P211, P244, P256, P292",0.92,0.92,92,92,8,8
"278",278,8,"P26, P63, P81, P94, P143, P244, P256, P292",0.86,0.81,86,81,19,14
"279",279,9,"P32, P63, P72, P91, P94, P143, P244, P256, P292",0.895238095238095,0.88421052631579,94,84,11,11
"280",280,8,"P32, P72, P81, P94, P143, P244, P256, P292",0.875,0.846153846153846,84,88,16,12
"281",281,10,"P7, P26, P63, P72, P81, P94, P143, P244, P256, P292",0.813084112149533,0.881720430107527,87,82,11,20
"282",282,8,"P63, P81, P94, P143, P211, P244, P256, P292",0.838095238095238,0.842105263157895,88,80,15,17
"283",283,12,"P7, P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.89010989010989,0.862385321100917,81,94,15,10
"284",284,6,"P63, P94, P143, P244, P256, P292",0.85,0.82,85,82,18,15
"285",285,4,"P63, P94, P256, P292",0.814432989690722,0.815533980582524,79,84,19,18
"286",286,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.893617021276596,0.830188679245283,84,88,18,10
"287",287,7,"P32, P91, P94, P143, P244, P256, P292",0.822222222222222,0.772727272727273,74,85,25,16
"288",288,9,"P26, P32, P81, P91, P94, P143, P244, P256, P292",0.865384615384615,0.802083333333333,90,77,19,14
"289",289,13,"P7, P26, P32, P43, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.880733944954128,0.846153846153846,96,77,14,13
"290",290,7,"P26, P81, P94, P143, P244, P256, P292",0.84375,0.894230769230769,81,93,11,15
"291",291,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.858585858585859,0.900990099009901,85,91,10,14
"292",292,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.867924528301887,0.861702127659574,92,81,13,14
"293",293,8,"P63, P72, P91, P94, P109, P143, P256, P292",0.838095238095238,0.821052631578947,88,78,17,17
"294",294,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.87962962962963,0.880434782608696,95,81,11,13
"295",295,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.85,0.84,85,84,16,15
"296",296,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.923913043478261,0.87037037037037,85,94,14,7
"297",297,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.85,0.8,85,80,20,15
"298",298,7,"P32, P63, P94, P143, P244, P256, P292",0.855555555555556,0.909090909090909,77,100,10,13
"299",299,9,"P26, P32, P81, P94, P143, P211, P244, P256, P292",0.893203883495146,0.865979381443299,92,84,13,11
"300",300,6,"P72, P94, P143, P244, P256, P292",0.831578947368421,0.8,79,84,21,16
"301",301,8,"P7, P32, P72, P91, P94, P244, P256, P292",0.837837837837838,0.808988764044944,93,72,17,18
"302",302,9,"P32, P63, P81, P91, P94, P143, P244, P256, P292",0.842592592592593,0.83695652173913,91,77,15,17
"303",303,6,"P72, P81, P94, P244, P256, P292",0.766990291262136,0.88659793814433,79,86,11,24
"304",304,7,"P32, P63, P91, P94, P143, P256, P292",0.869047619047619,0.836206896551724,73,97,19,11
"305",305,6,"P81, P94, P143, P244, P256, P292",0.844660194174757,0.855670103092783,87,83,14,16
"306",306,8,"P26, P63, P72, P81, P94, P143, P256, P292",0.83,0.84,83,84,16,17
"307",307,7,"P32, P72, P94, P143, P244, P256, P292",0.911504424778761,0.793103448275862,103,69,18,10
"308",308,11,"P26, P32, P43, P63, P72, P81, P91, P94, P143, P256, P292",0.91578947368421,0.847619047619048,87,89,16,8
"309",309,6,"P32, P94, P143, P211, P256, P292",0.820224719101124,0.846846846846847,73,94,17,16
"310",310,8,"P63, P72, P81, P91, P94, P143, P256, P292",0.84,0.83,84,83,17,16
"311",311,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.888888888888889,0.880434782608696,96,81,11,12
"312",312,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.852631578947368,0.8,81,84,21,14
"313",313,7,"P63, P72, P81, P94, P143, P256, P292",0.828282828282828,0.801980198019802,82,81,20,17
"314",314,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.815533980582524,0.835051546391753,84,81,16,19
"315",315,6,"P72, P91, P94, P143, P256, P292",0.833333333333333,0.846938775510204,85,83,15,17
"316",316,6,"P81, P94, P143, P244, P256, P292",0.863636363636364,0.875,76,98,14,12
"317",317,9,"P26, P72, P81, P91, P94, P143, P244, P256, P292",0.786407766990291,0.896907216494845,81,87,10,22
"318",318,7,"P63, P72, P81, P94, P244, P256, P292",0.857142857142857,0.794117647058823,84,81,21,14
"319",319,7,"P63, P81, P94, P143, P244, P256, P292",0.833333333333333,0.806122448979592,85,79,19,17
"320",320,8,"P63, P81, P91, P94, P143, P211, P256, P292",0.855421686746988,0.846153846153846,71,99,18,12
"321",321,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.904255319148936,0.867924528301887,85,92,14,9
"322",322,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.880733944954128,0.912087912087912,96,83,8,13
"323",323,11,"P26, P32, P63, P72, P81, P91, P94, P109, P143, P256, P292",0.958762886597938,0.87378640776699,93,90,13,4
"324",324,12,"P26, P32, P63, P72, P81, P91, P94, P109, P143, P211, P256, P292",0.866666666666667,0.91578947368421,91,87,8,14
"325",325,6,"P63, P81, P94, P143, P256, P292",0.86734693877551,0.862745098039216,85,88,14,13
"326",326,7,"P63, P81, P91, P94, P143, P256, P292",0.951456310679612,0.824742268041237,98,80,17,5
"327",327,7,"P32, P91, P94, P143, P244, P256, P292",0.84070796460177,0.873563218390805,95,76,11,18
"328",328,10,"P26, P32, P72, P81, P94, P109, P143, P244, P256, P292",0.821428571428571,0.829545454545455,92,73,15,20
"329",329,11,"P26, P32, P63, P72, P81, P94, P109, P143, P244, P256, P292",0.950980392156863,0.877551020408163,97,86,12,5
"330",330,13,"P7, P32, P63, P72, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.93,0.88,93,88,12,7
"331",331,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.927927927927928,0.921348314606742,103,82,7,8
"332",332,8,"P32, P63, P91, P94, P143, P244, P256, P292",0.884615384615385,0.8125,92,78,18,12
"333",333,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.891891891891892,0.887640449438202,99,79,10,12
"334",334,9,"P26, P63, P72, P81, P94, P143, P244, P256, P292",0.864077669902913,0.845360824742268,89,82,15,14
"335",335,6,"P81, P94, P143, P244, P256, P292",0.75531914893617,0.858490566037736,71,91,15,23
"336",336,3,"P94, P256, P292",0.806122448979592,0.852941176470588,79,87,15,19
"337",337,6,"P32, P72, P81, P94, P256, P292",0.839622641509434,0.819148936170213,89,77,17,17
"338",338,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.895833333333333,0.836538461538462,86,87,17,10
"339",339,9,"P32, P43, P63, P81, P94, P143, P244, P256, P292",0.88659793814433,0.864077669902913,86,89,14,11
"340",340,5,"P81, P94, P143, P256, P292",0.851063829787234,0.820754716981132,80,87,19,14
"341",341,10,"P7, P32, P63, P81, P94, P143, P211, P244, P256, P292",0.879120879120879,0.889908256880734,80,97,12,11
"342",342,9,"P32, P63, P81, P91, P94, P143, P244, P256, P292",0.863157894736842,0.857142857142857,82,90,15,13
"343",343,9,"P26, P32, P72, P81, P94, P143, P244, P256, P292",0.870967741935484,0.841121495327103,81,90,17,12
"344",344,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.866666666666667,0.842105263157895,91,80,15,14
"345",345,8,"P63, P72, P81, P91, P94, P244, P256, P292",0.923913043478261,0.851851851851852,85,92,16,7
"346",346,10,"P26, P32, P63, P72, P81, P91, P94, P143, P256, P292",0.846153846153846,0.927083333333333,88,89,7,16
"347",347,10,"P26, P32, P81, P91, P94, P109, P143, P244, P256, P292",0.794392523364486,0.838709677419355,85,78,15,22
"348",348,8,"P26, P32, P81, P94, P143, P244, P256, P292",0.786407766990291,0.855670103092783,81,83,14,22
"349",349,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.82,0.83,82,83,17,18
"350",350,4,"P143, P244, P256, P292",0.806122448979592,0.784313725490196,79,80,22,19
"351",351,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.91304347826087,0.888888888888889,84,96,12,8
"352",352,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.879120879120879,0.834862385321101,80,91,18,11
"353",353,8,"P32, P63, P81, P94, P143, P211, P256, P292",0.871287128712871,0.828282828282828,88,82,17,13
"354",354,8,"P26, P32, P63, P81, P94, P143, P256, P292",0.864583333333333,0.817307692307692,83,85,19,13
"355",355,5,"P7, P63, P94, P256, P292",0.852631578947368,0.80952380952381,81,85,20,14
"356",356,10,"P32, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.861111111111111,0.847826086956522,93,78,14,15
"357",357,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.922330097087379,0.896907216494845,95,87,10,8
"358",358,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.867924528301887,0.861702127659574,92,81,13,14
"359",359,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.872549019607843,0.877551020408163,89,86,12,13
"360",360,9,"P26, P32, P63, P72, P81, P91, P94, P256, P292",0.863157894736842,0.828571428571429,82,87,18,13
"361",361,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.901960784313726,0.76530612244898,92,75,23,10
"362",362,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.90625,0.913461538461538,87,95,9,9
"363",363,10,"P26, P32, P63, P81, P91, P94, P143, P211, P256, P292",0.89247311827957,0.831775700934579,83,89,18,10
"364",364,3,"P94, P256, P292",0.825688073394495,0.857142857142857,90,78,13,19
"365",365,6,"P26, P63, P94, P143, P256, P292",0.808510638297872,0.858490566037736,76,91,15,18
"366",366,9,"P26, P32, P63, P72, P94, P211, P244, P256, P292",0.8,0.88,80,88,12,20
"367",367,11,"P26, P32, P63, P81, P91, P94, P143, P211, P244, P256, P292",0.886792452830189,0.851063829787234,94,80,14,12
"368",368,10,"P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.844660194174757,0.845360824742268,87,82,15,16
"369",369,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.954022988505747,0.858407079646018,83,97,16,4
"370",370,4,"P81, P94, P256, P292",0.86,0.87,86,87,13,14
"371",371,6,"P32, P94, P143, P244, P256, P292",0.838383838383838,0.841584158415842,83,85,16,16
"372",372,6,"P72, P81, P94, P143, P256, P292",0.814432989690722,0.893203883495146,79,92,11,18
"373",373,10,"P26, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.868131868131868,0.81651376146789,79,89,20,12
"374",374,8,"P26, P63, P81, P94, P143, P244, P256, P292",0.848484848484849,0.851485148514851,84,86,15,15
"375",375,8,"P32, P63, P72, P94, P143, P244, P256, P292",0.857142857142857,0.905263157894737,90,86,9,15
"376",376,11,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P291, P292",0.868131868131868,0.880733944954128,79,96,13,12
"377",377,6,"P32, P63, P94, P143, P256, P292",0.870967741935484,0.85981308411215,81,92,15,12
"378",378,8,"P7, P26, P32, P94, P143, P244, P256, P292",0.883495145631068,0.814432989690722,91,79,18,12
"379",379,11,"P26, P32, P43, P63, P81, P91, P94, P143, P244, P256, P292",0.876288659793814,0.87378640776699,85,90,13,12
"380",380,7,"P32, P63, P72, P94, P244, P256, P292",0.861111111111111,0.902173913043478,93,83,9,15
"381",381,7,"P32, P72, P81, P94, P143, P256, P292",0.882978723404255,0.886792452830189,83,94,12,11
"382",382,7,"P32, P63, P81, P94, P244, P256, P292",0.844444444444444,0.854545454545454,76,94,16,14
"383",383,7,"P26, P32, P81, P94, P143, P256, P292",0.806122448979592,0.843137254901961,79,86,16,19
"384",384,7,"P72, P81, P94, P143, P244, P256, P292",0.827956989247312,0.869158878504673,77,93,14,16
"385",385,11,"P26, P32, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.89247311827957,0.813084112149533,83,87,20,10
"386",386,9,"P26, P32, P72, P81, P94, P143, P244, P256, P292",0.89,0.89,89,89,11,11
"387",387,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.858695652173913,0.851851851851852,79,92,16,13
"388",388,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.862745098039216,0.908163265306122,88,89,9,14
"389",389,6,"P26, P63, P94, P143, P256, P292",0.828282828282828,0.851485148514851,82,86,15,17
"390",390,6,"P32, P72, P94, P244, P256, P292",0.789473684210526,0.895238095238095,75,94,11,20
"391",391,7,"P32, P91, P94, P143, P211, P256, P292",0.824742268041237,0.87378640776699,80,90,13,17
"392",392,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.860215053763441,0.850467289719626,80,91,16,13
"393",393,7,"P63, P72, P81, P94, P143, P256, P292",0.855670103092783,0.854368932038835,83,88,15,14
"394",394,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.86,0.96,86,96,4,14
"395",395,10,"P26, P32, P63, P72, P81, P91, P94, P143, P256, P292",0.88,0.89,88,89,11,12
"396",396,10,"P7, P32, P63, P72, P81, P91, P94, P143, P256, P292",0.78021978021978,0.844036697247706,71,92,17,20
"397",397,7,"P63, P81, P94, P143, P211, P256, P292",0.862068965517241,0.805309734513274,75,91,22,12
"398",398,8,"P26, P63, P81, P94, P109, P143, P256, P292",0.880434782608696,0.861111111111111,81,93,15,11
"399",399,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.898148148148148,0.902173913043478,97,83,9,11
"400",400,8,"P32, P63, P91, P94, P143, P244, P256, P292",0.845454545454545,0.833333333333333,93,75,15,17
"401",401,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.877551020408163,0.872549019607843,86,89,13,12
"402",402,10,"P32, P63, P72, P81, P91, P94, P109, P143, P256, P292",0.854166666666667,0.855769230769231,82,89,15,14
"403",403,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.88,0.88,88,88,12,12
"404",404,11,"P26, P32, P43, P63, P72, P81, P94, P143, P244, P256, P292",0.905263157894737,0.819047619047619,86,86,19,9
"405",405,11,"P26, P32, P63, P81, P91, P94, P109, P143, P244, P256, P292",0.929203539823009,0.850574712643678,105,74,13,8
"406",406,7,"P32, P81, P94, P143, P244, P256, P292",0.841121495327103,0.881720430107527,90,82,11,17
"407",407,5,"P81, P94, P143, P256, P292",0.820754716981132,0.914893617021277,87,86,8,19
"408",408,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.857142857142857,0.886363636363636,96,78,10,16
"409",409,11,"P32, P63, P72, P81, P91, P94, P109, P143, P244, P256, P292",0.94059405940594,0.838383838383838,95,83,16,6
"410",410,8,"P32, P72, P81, P94, P143, P244, P256, P292",0.873684210526316,0.866666666666667,83,91,14,12
"411",411,8,"P32, P63, P72, P91, P94, P143, P256, P292",0.838383838383838,0.881188118811881,83,89,12,16
"412",412,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.875,0.885416666666667,91,85,11,13
"413",413,11,"P26, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.867924528301887,0.914893617021277,92,86,8,14
"414",414,9,"P26, P63, P81, P91, P94, P109, P244, P256, P292",0.854166666666667,0.826923076923077,82,86,18,14
"415",415,9,"P26, P32, P43, P63, P81, P94, P143, P256, P292",0.824742268041237,0.883495145631068,80,91,12,17
"416",416,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.855670103092783,0.902912621359223,83,93,10,14
"417",417,7,"P32, P72, P81, P94, P143, P256, P292",0.848484848484849,0.861386138613861,84,87,14,15
"418",418,8,"P26, P32, P91, P94, P109, P143, P256, P292",0.775510204081633,0.813725490196078,76,83,19,22
"419",419,12,"P7, P26, P32, P63, P72, P81, P94, P143, P211, P256, P291, P292",0.798076923076923,0.875,83,84,12,21
"420",420,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.891089108910891,0.858585858585859,90,85,14,11
"421",421,8,"P63, P72, P81, P94, P143, P244, P256, P292",0.85,0.86,85,86,14,15
"422",422,10,"P26, P43, P72, P81, P91, P94, P143, P244, P256, P292",0.911764705882353,0.857142857142857,93,84,14,9
"423",423,11,"P7, P26, P32, P43, P72, P81, P91, P94, P143, P256, P292",0.814432989690722,0.854368932038835,79,88,15,18
"424",424,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.860215053763441,0.831775700934579,80,89,18,13
"425",425,8,"P63, P72, P81, P91, P94, P143, P256, P292",0.861386138613861,0.858585858585859,87,85,14,14
"426",426,9,"P26, P32, P72, P81, P91, P94, P143, P256, P292",0.802197802197802,0.880733944954128,73,96,13,18
"427",427,8,"P26, P72, P81, P94, P143, P244, P256, P292",0.826923076923077,0.90625,86,87,9,18
"428",428,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.904255319148936,0.820754716981132,85,87,19,9
"429",429,9,"P7, P63, P72, P81, P94, P143, P244, P256, P292",0.861111111111111,0.902173913043478,93,83,9,15
"430",430,7,"P63, P72, P81, P94, P143, P256, P292",0.895833333333333,0.865384615384615,86,90,14,10
"431",431,9,"P26, P32, P72, P81, P94, P143, P244, P256, P292",0.823529411764706,0.918367346938776,84,90,8,18
"432",432,13,"P32, P43, P63, P72, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.904347826086957,0.894117647058824,104,76,9,11
"433",433,10,"P32, P43, P63, P72, P81, P94, P143, P244, P256, P292",0.912087912087912,0.862385321100917,83,94,15,8
"434",434,7,"P63, P81, P94, P143, P244, P256, P292",0.88235294117647,0.836734693877551,90,82,16,12
"435",435,8,"P7, P63, P81, P91, P94, P244, P256, P292",0.818181818181818,0.801980198019802,81,81,20,18
"436",436,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.891891891891892,0.910112359550562,99,81,8,12
"437",437,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.857142857142857,0.873684210526316,90,83,12,15
"438",438,5,"P32, P63, P94, P256, P292",0.842105263157895,0.838095238095238,80,88,17,15
"439",439,7,"P63, P72, P94, P143, P244, P256, P292",0.846153846153846,0.844036697247706,77,92,17,14
"440",440,8,"P63, P91, P94, P143, P211, P244, P256, P292",0.833333333333333,0.798076923076923,80,83,21,16
"441",441,7,"P26, P63, P81, P94, P143, P256, P292",0.825242718446602,0.835051546391753,85,81,16,18
"442",442,8,"P32, P81, P91, P94, P143, P244, P256, P292",0.905660377358491,0.776595744680851,96,73,21,10
"443",443,7,"P32, P63, P81, P94, P143, P256, P292",0.820754716981132,0.872340425531915,87,82,12,19
"444",444,7,"P72, P91, P94, P143, P244, P256, P292",0.86,0.82,86,82,18,14
"445",445,10,"P26, P32, P63, P72, P81, P91, P94, P143, P256, P292",0.892156862745098,0.86734693877551,91,85,13,11
"446",446,9,"P63, P72, P81, P94, P143, P211, P244, P256, P292",0.861386138613861,0.878787878787879,87,87,12,14
"447",447,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.876288659793814,0.844660194174757,85,87,16,12
"448",448,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.87,0.88,87,88,12,13
"449",449,11,"P26, P32, P63, P72, P91, P94, P143, P211, P244, P256, P292",0.912280701754386,0.848837209302326,104,73,13,10
"450",450,9,"P26, P32, P63, P72, P81, P94, P143, P256, P292",0.814432989690722,0.864077669902913,79,89,14,18
"451",451,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.848484848484849,0.811881188118812,84,82,19,15
"452",452,9,"P72, P81, P91, P94, P143, P211, P244, P256, P292",0.885714285714286,0.873684210526316,93,83,12,12
"453",453,12,"P26, P32, P43, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.872340425531915,0.858490566037736,82,91,15,12
"454",454,10,"P26, P32, P81, P91, P94, P109, P143, P244, P256, P292",0.898989898989899,0.851485148514851,89,86,15,10
"455",455,8,"P72, P81, P94, P143, P211, P244, P256, P292",0.885714285714286,0.852631578947368,93,81,14,12
"456",456,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.93,0.84,93,84,16,7
"457",457,8,"P26, P81, P91, P94, P143, P244, P256, P292",0.922222222222222,0.836363636363636,83,92,18,7
"458",458,8,"P32, P43, P72, P94, P143, P244, P256, P292",0.842105263157895,0.847619047619048,80,89,16,15
"459",459,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.892156862745098,0.897959183673469,91,88,10,11
"460",460,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.894230769230769,0.854166666666667,93,82,14,11
"461",461,4,"P63, P94, P256, P292",0.819148936170213,0.849056603773585,77,90,16,17
"462",462,10,"P7, P26, P32, P63, P81, P94, P143, P211, P256, P292",0.88,0.85,88,85,15,12
"463",463,4,"P94, P143, P256, P292",0.898989898989899,0.752475247524752,89,76,25,10
"464",464,8,"P26, P32, P72, P91, P94, P143, P256, P292",0.836363636363636,0.877777777777778,92,79,11,18
"465",465,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.845360824742268,0.844660194174757,82,87,16,15
"466",466,4,"P26, P94, P256, P292",0.80952380952381,0.831578947368421,85,79,16,20
"467",467,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.88659793814433,0.83495145631068,86,86,17,11
"468",468,5,"P26, P94, P143, P256, P292",0.761363636363636,0.794642857142857,67,89,23,21
"469",469,5,"P72, P94, P143, P256, P292",0.866666666666667,0.905263157894737,91,86,9,14
"470",470,5,"P32, P94, P143, P256, P292",0.868686868686869,0.861386138613861,86,87,14,13
"471",471,6,"P72, P94, P143, P244, P256, P292",0.817204301075269,0.831775700934579,76,89,18,17
"472",472,11,"P7, P63, P72, P91, P94, P109, P143, P211, P244, P256, P292",0.903846153846154,0.8125,94,78,18,10
"473",473,6,"P72, P81, P94, P143, P256, P292",0.923076923076923,0.822916666666667,96,79,17,8
"474",474,11,"P32, P63, P72, P81, P91, P94, P109, P143, P244, P256, P292",0.877551020408163,0.872549019607843,86,89,13,12
"475",475,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.928571428571429,0.892156862745098,91,91,11,7
"476",476,12,"P26, P43, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.893617021276596,0.839622641509434,84,89,17,10
"477",477,5,"P26, P94, P143, P256, P292",0.802083333333333,0.778846153846154,77,81,23,19
"478",478,8,"P63, P81, P94, P109, P143, P244, P256, P292",0.871287128712871,0.838383838383838,88,83,16,13
"479",479,9,"P26, P32, P63, P91, P94, P143, P244, P256, P292",0.818181818181818,0.871287128712871,81,88,13,18
"480",480,7,"P63, P91, P94, P143, P244, P256, P292",0.739583333333333,0.855769230769231,71,89,15,25
"481",481,8,"P26, P63, P72, P94, P143, P244, P256, P292",0.89,0.83,89,83,17,11
"482",482,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.84375,0.894230769230769,81,93,11,15
"483",483,10,"P32, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.877358490566038,0.882978723404255,93,83,11,13
"484",484,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.816326530612245,0.843137254901961,80,86,16,18
"485",485,7,"P63, P72, P94, P143, P244, P256, P292",0.813725490196078,0.86734693877551,83,85,13,19
