"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"58",58,4,"P94, P244, P256, P292",0.862745098039216,0.785714285714286,88,77,21,14
"59",59,10,"P26, P63, P81, P91, P94, P109, P143, P244, P256, P292",0.857142857142857,0.789473684210526,90,75,20,15
"60",60,3,"P94, P256, P292",0.846938775510204,0.862745098039216,83,88,14,15
"61",61,13,"P26, P32, P63, P72, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.923076923076923,0.908256880733945,84,99,10,7
"62",62,11,"P26, P32, P63, P81, P91, P94, P143, P211, P244, P256, P292",0.864077669902913,0.824742268041237,89,80,17,14
"63",63,9,"P63, P81, P91, P94, P109, P143, P244, P256, P292",0.901098901098901,0.834862385321101,82,91,18,9
"64",64,8,"P26, P63, P81, P94, P143, P244, P256, P292",0.806451612903226,0.869158878504673,75,93,14,18
"65",65,8,"P26, P32, P63, P81, P94, P143, P256, P292",0.798076923076923,0.84375,83,81,15,21
"66",66,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.9,0.92,90,92,8,10
"67",67,5,"P81, P94, P143, P256, P292",0.780952380952381,0.873684210526316,82,83,12,23
"68",68,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.838095238095238,0.842105263157895,88,80,15,17
"69",69,11,"P26, P32, P63, P81, P94, P109, P143, P211, P244, P256, P292",0.897959183673469,0.892156862745098,88,91,11,10
"70",70,7,"P63, P91, P94, P143, P244, P256, P292",0.842696629213483,0.882882882882883,75,98,13,14
"71",71,7,"P63, P72, P81, P94, P143, P256, P292",0.846938775510204,0.843137254901961,83,86,16,15
"72",72,7,"P63, P72, P91, P94, P143, P256, P292",0.88,0.85,88,85,15,12
"73",73,6,"P26, P94, P143, P244, P256, P292",0.769230769230769,0.834862385321101,70,91,18,21
"74",74,8,"P26, P63, P72, P94, P143, P244, P256, P292",0.876288659793814,0.893203883495146,85,92,11,12
"75",75,8,"P32, P63, P81, P94, P143, P211, P256, P292",0.810526315789474,0.828571428571429,77,87,18,18
"76",76,8,"P26, P63, P81, P94, P109, P143, P256, P292",0.89247311827957,0.85981308411215,83,92,15,10
"77",77,9,"P32, P72, P91, P94, P143, P211, P244, P256, P292",0.883928571428571,0.886363636363636,99,78,10,13
"78",78,7,"P63, P81, P94, P143, P244, P256, P292",0.857142857142857,0.806818181818182,96,71,17,16
"79",79,9,"P32, P63, P72, P81, P91, P94, P143, P256, P292",0.866666666666667,0.905263157894737,91,86,9,14
"80",80,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.919191919191919,0.891089108910891,91,90,11,8
"81",81,6,"P32, P63, P94, P143, P256, P292",0.825242718446602,0.917525773195876,85,89,8,18
"82",82,14,"P7, P26, P32, P43, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.932692307692308,0.854166666666667,97,82,14,7
"83",83,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.878504672897196,0.903225806451613,94,84,9,13
"84",84,3,"P94, P256, P292",0.883495145631068,0.865979381443299,91,84,13,12
"85",85,6,"P81, P94, P143, P244, P256, P292",0.855670103092783,0.825242718446602,83,85,18,14
"86",86,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.882978723404255,0.89622641509434,83,95,11,11
"87",87,11,"P26, P32, P63, P72, P91, P94, P143, P211, P244, P256, P292",0.835051546391753,0.893203883495146,81,92,11,16
"88",88,6,"P32, P81, P94, P143, P256, P292",0.846153846153846,0.854166666666667,88,82,14,16
"89",89,8,"P32, P72, P81, P91, P94, P143, P256, P292",0.762886597938144,0.902912621359223,74,93,10,23
"90",90,11,"P26, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.898989898989899,0.881188118811881,89,89,12,10
"91",91,9,"P26, P63, P81, P94, P143, P211, P244, P256, P292",0.893617021276596,0.886792452830189,84,94,12,10
